station_id,name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region,odonym,namesake,opened
142,Damai,KJ8,Rapid KL,3.164406,101.724489,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
143,Ampang Park,KJ9,Rapid KL,3.159894,101.719017,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
144,KL Sentral,KE1,Express Rail Link,3.132675,101.687891,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley,,,
145,Kuala Lumpur International Airport,KE2,Express Rail Link,2.7549259,101.7048248,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley,,,
146,KLIA2,KE3,Express Rail Link,2.7445694,101.685081,KE,KLIA Ekspres,6,Purple,#800080,Klang Valley,,,
147,KL Sentral,KT1,Express Rail Link,3.132675,101.687891,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
148,Bandar Tasik Selatan,KT2,Express Rail Link,3.076067,101.711311,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
149,Putrajaya & Cyberjaya,KT3,Express Rail Link,2.9314193,101.6708369,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
150,Salak Tinggi,KT4,Express Rail Link,2.8257973,101.7133911,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
151,Kuala Lumpur International Airport,KT5,Express Rail Link,2.7549259,101.7048248,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
152,KLIA2,KT6,Express Rail Link,2.7445694,101.685081,KT,KLIA Transit,7,Teal,#139593,Klang Valley,,,
153,KL Sentral,MR1,Rapid KL,3.132675,101.687891,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
154,Chow Kit,MR10,Rapid KL,3.167394,101.698385,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
155,Titiwangsa,MR11,Rapid KL,3.173204,101.695964,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
156,Tun Sambanthan,MR2,Rapid KL,3.131452,101.690862,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
157,Maharajalela,MR3,Rapid KL,3.138948,101.699203,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
158,Hang Tuah,MR4,Rapid KL,3.140681,101.706037,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
159,Imbi,MR5,Rapid KL,3.142812,101.709447,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
160,Bukit Bintang,MR6,Rapid KL,3.146077,101.711499,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
161,Raja Chulan,MR7,Rapid KL,3.150837,101.710442,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
162,Bukit Nanas,MR8,Rapid KL,3.156244,101.704766,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
163,Medan Tuanku,MR9,Rapid KL,3.159271,101.6989,MR,KL Monorail Line,8,Light Green,#7dba00,Klang Valley,,,
164,Kwasa Damansara,KG04,Rapid KL,3.17615,101.57205,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
165,Kwasa Sentral,KG05,Rapid KL,3.169826,101.564913,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
166,Kota Damansara,KG06,Rapid KL,3.15013,101.57869,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
167,Surian,KG07,Rapid KL,3.14948,101.59392,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
168,Mutiara Damansara,KG08,Rapid KL,3.1553,101.60908,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
169,Bandar Utama,KG09,Rapid KL,3.146504,101.618798,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
170,TTDI,KG10,Rapid KL,3.13613,101.63054,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
171,Phileo Damansara,KG12,Rapid KL,3.129037,101.643153,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
172,Pusat Bandar Damansara,KG13,Rapid KL,3.143323,101.662374,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
173,Semantan,KG14,Rapid KL,3.150982,101.665292,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
174,Muzium Negara,KG15,Rapid KL,3.13732,101.68734,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
175,Pasar Seni,KG16,Rapid KL,3.14229,101.69556,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
176,Merdeka,KG17,Rapid KL,3.14197,101.70205,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
177,Bukit Bintang,KG18A,Rapid KL,3.1465,101.71095,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
178,Tun Razak Exchange,KG20,Rapid KL,3.1424,101.72016,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
179,Cochrane,KG21,Rapid KL,3.13283,101.72296,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
180,Maluri,KG22,Rapid KL,3.12362,101.72781,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
181,Taman Pertama,KG23,Rapid KL,3.11255,101.72937,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
182,Taman Midah,KG24,Rapid KL,3.10451,101.73219,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
183,Taman Mutiara,KG25,Rapid KL,3.09099,101.74045,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
184,Taman Connaught,KG26,Rapid KL,3.07917,101.74522,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
185,Taman Suntex,KG27,Rapid KL,3.07158,101.76355,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
186,Sri Raya,KG28,Rapid KL,3.06227,101.7729,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
187,Bandar Tun Hussien Onn,KG29,Rapid KL,3.04822,101.77511,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
188,Batu 11 Cheras,KG30,Rapid KL,3.04134,101.77338,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
189,Bukit Dukung,KG31,Rapid KL,3.02641,101.77107,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
190,Sungai Jernih,KG33,Rapid KL,3.00095,101.78386,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
191,Stadium Kajang,KG34,Rapid KL,2.99451,101.78634,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
192,Kajang,KG35,Rapid KL,2.98278,101.79028,KG,Kajang Line,9,Green,#008000,Klang Valley,,,
193,KL Sentral,KS01,Keretapi Tanah Melayu,3.132675,101.687891,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley,,,
194,Subang Jaya,KS02,Keretapi Tanah Melayu,3.08466,101.588127,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley,,,
195,Terminal Skypark,KS03,Keretapi Tanah Melayu,3.13442,101.55543,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley,,,
196,Sunway-Setia Jaya,SB1,Rapid Bus,3.08292,101.61228,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
197,Mentari,SB2,Rapid Bus,3.07613,101.61023,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
198,Sunway Lagoon,SB3,Rapid Bus,3.07065,101.61079,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
199,Sunmed,SB4,Rapid Bus,3.06554,101.60861,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
200,SunU Monash,SB5,Rapid Bus,3.0653,101.60161,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
201,South Quay-USJ1,SB6,Rapid Bus,3.06162,101.59681,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
202,USJ7,SB7,Rapid Bus,3.05525,101.59198,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley,,,
203,Sungai Buloh,PY04,Rapid KL,3.206333,101.581736,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley,,,
